순위,제목,평점,애매율,개봉일
1,아바타: 물의 길,7.9,72.2%,22.12.14
2,영웅,9.1,10.9%,22.12.21
3,젠틀맨,8.0,4.2%,22.12.28
4,장화신은 고양이: 끝내주는 모험,8.7,2.0%,23.01.04
5,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",7.3,1.7%,22.11.30
6,올빼미,8.9,1.5%,22.11.23
7,스위치,7.4,1.4%,23.01.04
8,더 퍼스트 슬램덩크,10.0,1.1%,23.01.04
9,신비아파트 극장판 차원도깨비와 7개의 세계,8.3,0.7%,22.12.14
10,몬스터 신부 : 101번째 프로포즈,8.8,0.7%,22.12.28
11,눈의 여왕5:스노우 프린세스와 미러랜드의 비밀,7.8,0.4%,22.12.22
12,핑크퐁 시네마 콘서트 2: 원더스타 콘서트 대작전,9.4,0.3%,22.12.21
13,극장판 뽀로로와 친구들: 바이러스를 없애줘!,7.3,0.2%,22.12.01
14,탄생,9.4,0.1%,22.11.30
15,코르사주,9.9,0.1%,22.12.21
16,본즈 앤 올,8.5,0.1%,22.11.30
17,크레이지 컴페티션,9.0,0.1%,22.12.28
18,페르시아어 수업,8.8,0.1%,22.12.15
19,가가린,9.0,0.1%,22.12.22
20,드라이브 마이 카,7.2,0.1%,22.12.22
